,Unnamed: 0,Unnamed: 0.1,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
34,8219,115038,LTE,440,50,47690,104122370,0,133.91083666666665,34.635631999999994,1000,2,1,1458589883,1464991081,0
35,8221,115040,LTE,440,50,47689,105373952,0,133.91482249999999,34.635631999999994,1000,2,1,1458589882,1464991081,0
36,8223,115042,LTE,440,50,47690,101501954,0,133.91880833333332,34.635631999999994,1000,1,1,1451095743,1451095743,0
37,8225,115044,LTE,440,50,47690,106621954,0,133.92279416666665,34.635631999999994,1000,3,1,1458589883,1462341324,0
38,8364,115183,LTE,440,50,47689,101291523,0,133.92677999999998,34.635631999999994,1000,1,1,1451095762,1451095762,0
39,8369,115188,LTE,440,50,47689,102571522,0,133.87895,34.63730699999999,1000,2,1,1458589882,1464991081,0
40,8378,115197,LTE,440,50,47689,105385472,0,133.88293583333333,34.63730699999999,1000,2,1,1458589882,1464991079,0
41,8379,115198,LTE,440,50,47690,101501955,0,133.88692166666667,34.63730699999999,1000,2,1,1458589882,1461741573,0
42,8386,115205,LTE,440,50,47690,102781954,0,133.8909075,34.63730699999999,1000,1,1,1451095743,1451095743,0
43,8387,115206,LTE,440,50,47690,102575874,0,133.89489333333333,34.63730699999999,1000,1,1,1430892318,1430892318,0
44,8389,115208,LTE,440,50,47690,101191171,0,133.89887916666666,34.63730699999999,1000,1,1,1451095762,1451095762,0
45,8390,115209,LTE,440,50,47690,104122369,0,133.902865,34.63730699999999,1000,5,1,1458589883,1487579506,0
46,8393,115212,LTE,440,50,47690,106304002,0,133.90685083333332,34.63730699999999,1000,1,1,1455716444,1455716444,0
47,8396,115215,LTE,440,50,47690,264796929,0,133.91083666666665,34.63730699999999,1000,1,1,1455256503,1455256503,0
48,8412,115231,LTE,440,50,47690,264794113,0,133.91482249999999,34.63730699999999,1000,1,1,1436949576,1436949576,0
49,160152,539939,LTE,440,51,47682,105286657,0,133.91880833333332,34.63730699999999,1000,4,1,1458920768,1491370650,0
50,160238,540025,LTE,440,51,47689,264789761,0,133.92279416666665,34.63730699999999,1000,27,1,1458920771,1492219023,0
51,160240,540027,LTE,440,51,47690,101295875,0,133.92677999999998,34.63730699999999,1000,36,1,1458920771,1492420435,0
52,160241,540028,LTE,440,51,47690,101501954,0,133.87895,34.63898199999999,1000,47,1,1458920771,1492168200,0
53,160247,540034,LTE,440,51,47690,102464003,0,133.88293583333333,34.63898199999999,1000,15,1,1458920771,1492168220,0
54,160253,540040,LTE,440,51,47690,264770305,0,133.88692166666667,34.63898199999999,1000,16,1,1458920771,1489738193,0
55,160257,540044,LTE,440,51,47690,264775681,0,133.8909075,34.63898199999999,1000,35,1,1458920771,1490683681,0
56,160258,540045,LTE,440,51,47690,264773637,0,133.89489333333333,34.63898199999999,1000,39,1,1458920771,1492420456,0
57,160259,540046,LTE,440,51,47690,264798721,0,133.89887916666666,34.63898199999999,1000,23,1,1458920771,1492089717,0
58,160260,540047,LTE,440,51,47690,264773635,0,133.902865,34.63898199999999,1000,11,1,1458920771,1487666935,0
59,160261,540048,LTE,440,51,47690,264773634,0,133.90685083333332,34.63898199999999,1000,59,1,1458920771,1492089717,0
60,160263,540050,LTE,440,51,47690,264773890,0,133.91083666666665,34.63898199999999,1000,8,1,1458920771,1487578255,0
61,160264,540051,LTE,440,51,47690,264773893,0,133.91482249999999,34.63898199999999,1000,9,1,1458920771,1487578255,0
62,160266,540053,LTE,440,51,47690,104122369,0,133.91880833333332,34.63898199999999,1000,79,1,1458920771,1492089717,0
63,160268,540055,LTE,440,51,47690,102575875,0,133.92279416666665,34.63898199999999,1000,50,1,1458920771,1492089270,0
64,160271,540058,LTE,440,51,47690,264777218,0,133.92677999999998,34.63898199999999,1000,20,1,1458920771,1491370650,0
65,160272,540059,LTE,440,51,47690,103544578,0,133.87895,34.64065699999999,1000,20,1,1458920771,1489556594,0
66,160273,540060,LTE,440,51,47690,264779777,0,133.88293583333333,34.64065699999999,1000,15,1,1458920771,1492219023,0
67,160276,540063,LTE,440,51,47690,264767235,0,133.88692166666667,34.64065699999999,1000,14,1,1458920771,1491370650,0
68,160454,540241,LTE,440,51,47681,101638915,0,133.8909075,34.64065699999999,1000,42,1,1458920767,1490683681,0
69,160545,540332,LTE,440,51,47689,101291522,0,133.89489333333333,34.64065699999999,1000,3,1,1458920770,1482626158,0
70,160555,540342,LTE,440,51,47690,101184003,0,133.89887916666666,34.64065699999999,1000,53,1,1458920771,1491370661,0
71,160560,540347,LTE,440,51,47690,101184001,0,133.902865,34.64065699999999,1000,34,1,1458920771,1491370661,0
72,160565,540352,LTE,440,51,47690,101191683,0,133.90685083333332,34.64065699999999,1000,60,1,1458920771,1492089254,0
73,160567,540354,LTE,440,51,47690,101501953,0,133.91083666666665,34.64065699999999,1000,40,1,1458920771,1492420456,0
74,160568,540355,LTE,440,51,47690,101191169,0,133.91482249999999,34.64065699999999,1000,11,1,1458920771,1492219023,0
75,160570,540357,LTE,440,51,47690,101638146,0,133.91880833333332,34.64065699999999,1000,4,1,1458920771,1467008174,0
76,160572,540359,LTE,440,51,47690,101501955,0,133.92279416666665,34.64065699999999,1000,52,1,1458920771,1492219023,0
77,160573,540360,LTE,440,51,47690,101184002,0,133.92677999999998,34.64065699999999,1000,38,1,1458920771,1491370661,0
78,160575,540362,LTE,440,51,47690,264773636,0,133.87895,34.64233199999999,1000,25,1,1458920771,1492420456,0
79,160576,540363,LTE,440,51,47690,264773632,0,133.88293583333333,34.64233199999999,1000,21,1,1458920771,1491719364,0
80,160579,540366,LTE,440,51,47690,105221377,0,133.88692166666667,34.64233199999999,1000,39,1,1458920771,1491804486,0
81,160581,540368,LTE,440,51,47690,264770050,0,133.8909075,34.64233199999999,1000,8,1,1458920771,1488431824,0
82,160587,540374,LTE,440,51,47690,102471683,0,133.89489333333333,34.64233199999999,1000,39,1,1458920771,1489038227,0
83,160588,540375,LTE,440,51,47690,264767233,0,133.89887916666666,34.64233199999999,1000,21,1,1458920771,1483512385,0
84,160692,540479,LTE,440,51,47681,264775169,0,133.902865,34.64233199999999,1000,30,1,1458920768,1492219023,0
85,160752,540539,LTE,440,51,47689,101291523,0,133.90685083333332,34.64233199999999,1000,17,1,1458920770,1492219023,0
86,160753,540540,LTE,440,51,47689,102571521,0,133.91083666666665,34.64233199999999,1000,12,1,1458920770,1490683651,0
87,160756,540543,LTE,440,51,47689,101638403,0,133.91482249999999,34.64233199999999,1000,11,1,1458920770,1487666894,0
88,160770,540557,LTE,440,51,47689,264784386,0,133.91880833333332,34.64233199999999,1000,2,1,1458920771,1463550303,0
89,160771,540558,LTE,440,51,47689,105385472,0,133.92279416666665,34.64233199999999,1000,34,1,1458920771,1492168195,0
90,160772,540559,LTE,440,51,47690,101295873,0,133.92677999999998,34.64233199999999,1000,43,1,1458920771,1492420456,0
91,160773,540560,LTE,440,51,47690,101639170,0,133.87895,34.64400699999999,1000,47,1,1458920771,1492420435,0
92,160774,540561,LTE,440,51,47690,101636354,0,133.88293583333333,34.64400699999999,1000,27,1,1458920771,1491370650,0
