,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
161075,540862,LTE,440,51,47690,102575873,0,133.903863,34.640578999999995,1000,41,1,1458920771,1488431824,0
161077,540864,LTE,440,51,47690,102916355,0,133.92539978027,34.64469909668,1000,24,1,1458920771,1491370650,0
161078,540865,LTE,440,51,47690,105229313,0,133.911667,34.647421,1000,55,1,1458920771,1492420456,0
161080,540867,LTE,440,51,47690,264794881,0,133.88711899999998,34.635086,1000,16,1,1458920771,1492089270,0
161082,540869,LTE,440,51,47690,264767236,0,133.91990661621,34.633712768555,1000,11,1,1458920771,1491370650,0
161083,540870,LTE,440,51,47690,104122370,0,133.897918,34.636459,1000,260,1,1458920771,1492420456,0
161085,540872,LTE,440,51,47690,264796930,0,133.90342712402,34.650192260742,1000,6,1,1458920771,1481782738,0
161086,540873,LTE,440,51,47690,264838914,0,133.913177,34.641953,1000,10,1,1458920771,1474031363,0
161213,541000,LTE,440,51,47681,101636867,0,133.91441345215,34.651565551758,1000,40,1,1458920767,1492219023,0
161310,541097,LTE,440,51,47689,102921218,0,133.881666,34.650298,1000,52,1,1458920770,1486445403,0
161316,541103,LTE,440,51,47689,102571522,0,133.896455,34.646072,1000,13,1,1458920770,1492219023,0
161319,541106,LTE,440,51,47690,101636355,0,133.92539978027,34.64469909668,1000,19,1,1458920771,1490856054,0
161320,541107,LTE,440,51,47689,102918402,0,133.89740600000002,34.650192,1000,13,1,1458920770,1492219023,0
161321,541108,LTE,440,51,47689,105373952,0,133.898087,34.646225,1000,9,1,1458920771,1490683681,0
161324,541111,LTE,440,51,47690,101639171,0,133.893814,34.638944,1000,21,1,1458920771,1492420435,0
161328,541115,LTE,440,51,47690,264796929,0,133.90342712402,34.650192260742,1000,28,1,1458920771,1490683681,0
161329,541116,LTE,440,51,47690,102916353,0,133.92539978027,34.647445678711,1000,28,1,1458920771,1489038227,0
161330,541117,LTE,440,51,47690,264773888,0,133.92265319824,34.648818969727,1000,33,1,1458920771,1487828734,0
161333,541120,LTE,440,51,47690,264794113,0,133.9254,34.647566999999995,1000,34,1,1458920771,1489556605,0
161337,541124,LTE,440,51,47690,103821825,0,133.923668,34.647446,1000,23,1,1458920771,1484349379,0
161339,541126,LTE,440,51,47690,103821826,0,133.917847,34.646072,1000,4,1,1458920771,1480684798,0
161341,541128,LTE,440,51,47690,264777217,0,133.92539978027,34.643325805664,1000,43,1,1458920771,1492168195,0
161597,541384,LTE,440,51,47689,101638402,0,133.89793395996,34.650192260742,1000,2,1,1458920770,1488349605,0
161612,541399,LTE,440,51,47690,101295874,0,133.91038799999998,34.637643,1000,29,1,1458920771,1492420456,0
161614,541401,LTE,440,51,47690,101639169,0,133.90198700000002,34.640546,1000,41,1,1458920771,1492168200,0
161615,541402,LTE,440,51,47690,102471171,0,133.883858,34.633713,1000,8,1,1458920771,1486445403,0
161617,541404,LTE,440,51,47690,101637891,0,133.89793400000002,34.632356,1000,82,1,1458920771,1492420456,0
161620,541407,LTE,440,51,47690,102781954,0,133.902054,34.645749,1000,34,1,1458920771,1488431824,0
161622,541409,LTE,440,51,47690,104122371,0,133.893249,34.639367,1000,17,1,1458920771,1485586241,0
161625,541412,LTE,440,51,47690,103544579,0,133.91896200000002,34.640408,1000,16,1,1458920771,1492168220,0
161626,541413,LTE,440,51,47690,264773633,0,133.901951,34.636253,1000,40,1,1458920771,1489738193,0
161627,541414,LTE,440,51,47690,264794114,0,133.92539978027,34.647445678711,1000,14,1,1458920771,1487578255,0
161628,541415,LTE,440,51,47690,264773891,0,133.92265319824,34.648818969727,1000,19,1,1458920771,1487578255,0
161629,541416,LTE,440,51,47690,102917891,0,133.89793395996,34.632339477539,1000,54,1,1458920771,1492089717,0
161631,541418,LTE,440,51,47690,264798722,0,133.89656066895,34.636459350586,1000,15,1,1458920771,1492420456,0
161632,541419,LTE,440,51,47690,104132097,0,133.911967,34.646158,1000,32,1,1458920771,1492089717,0
200803,695687,LTE,440,51,47690,105380864,0,133.893814,34.636345,1000,12,1,1459686382,1492420435,0
202994,703827,LTE,440,50,47690,102575873,0,133.90754699707,34.640579223633,1000,1,1,1460106190,1460106190,0
203083,704152,LTE,440,51,47690,103544577,0,133.91990661621,34.641952514648,1000,7,1,1460149694,1481609697,0
203084,704153,LTE,440,51,47690,102376194,0,133.922104,34.651565999999995,1000,10,1,1460149694,1482538476,0
203089,704164,LTE,440,51,47690,103821827,0,133.92127990723,34.648818969727,1000,3,1,1460149694,1478755037,0
203091,704169,LTE,440,51,47690,264767234,0,133.91716,34.636656,1000,7,1,1460149695,1469514408,0
204786,710650,LTE,440,51,47690,105221379,0,133.920273,34.64772,1000,15,1,1460484931,1486533653,0
207584,724912,LTE,440,51,47681,102918914,0,133.91061000000002,34.651249,1000,13,1,1461354803,1487666935,0
211210,740801,LTE,440,50,47690,264770305,0,133.91166687012,34.636459350586,1000,2,1,1462032399,1471650684,0
211214,740823,LTE,440,50,47690,264770306,0,133.909836,34.635086,1000,3,1,1462032399,1462167590,0
211288,741321,LTE,440,51,47689,264784897,0,133.884201,34.646896000000005,1000,5,1,1462079160,1481012306,0
220130,773779,LTE,440,51,47690,102781955,0,133.90205383301,34.648818969727,1000,31,1,1458920771,1490683681,0
220715,776771,LTE,440,51,47690,103656194,0,133.922653,34.650977000000005,1000,7,1,1463576331,1482826157,0
220716,776772,LTE,440,51,47690,101638145,0,133.917847,34.645386,1000,2,1,1463576331,1466663219,0
220717,776773,LTE,440,51,47690,105221378,0,133.918695,34.647123,1000,17,1,1463576331,1486533653,0
225962,802427,LTE,440,50,47689,102918402,0,133.89381408691003,34.648818969727,1000,1,1,1464991081,1464991081,0
225983,802450,LTE,440,50,47690,101637891,0,133.89793395996,34.632339477539,1000,1,1,1464991081,1464991081,0
225984,802451,LTE,440,50,47689,102571521,0,133.89106750488,34.648818969727,1000,1,1,1464991079,1464991079,0
226019,802487,LTE,440,50,47689,102918403,0,133.893127,34.652252000000004,1000,2,1,1458589882,1464991079,0
226068,802536,LTE,440,50,47689,102921218,0,133.88763400000002,34.652252000000004,1000,2,1,1458589882,1464991079,0
229714,818601,LTE,440,51,47690,264779778,0,133.895874,34.637833,1000,2,1,1465837661,1467499686,0
244794,875651,LTE,440,51,47690,101191171,0,133.8842010498,34.63508605957,1000,9,1,1469251579,1490683681,0
244795,875652,LTE,440,51,47689,105378304,0,133.881454,34.639755,1000,5,1,1469251579,1486445403,0
246541,882010,LTE,440,51,47690,264767237,0,133.9185333252,34.637832641602,1000,4,1,1469537908,1487666935,0
252224,901307,LTE,440,51,47689,101641218,0,133.880997,34.652328000000004,1000,9,1,1470413998,1486363858,0
284541,1018771,LTE,440,50,47690,103821825,0,133.92127990723,34.647445678711,1000,1,1,1476006742,1476006742,0
284544,1018775,LTE,440,50,47681,102916866,0,133.92265319824,34.651565551758,1000,1,1,1476006742,1476006742,0
284547,1018780,LTE,440,50,47690,105221379,0,133.92127990723,34.648818969727,1000,1,1,1476006742,1476006742,0
284549,1018783,LTE,440,50,47690,102376194,0,133.92265319824,34.651565551758,1000,1,1,1476006742,1476006742,0
298256,1073911,LTE,440,51,47690,102471170,0,133.891754,34.636459,1000,4,1,1479617179,1490683681,0
300916,1084252,LTE,440,50,47690,264838914,0,133.91304016113,34.643325805664,1000,1,1,1480318234,1480318234,0
309154,1124970,LTE,440,50,47681,102918915,0,133.9102935791,34.650192260742,1000,1,1,1483146598,1483146598,0
309155,1124971,LTE,440,50,47690,102781953,0,133.90480041504,34.646072387695,1000,2,1,1483170366,1487579506,0
320818,1181591,LTE,440,51,47689,100779267,0,133.879395,34.650192,1000,4,1,1487381707,1492168195,0
321612,1185843,LTE,440,50,47690,101501953,0,133.9102935791,34.641952514648,1000,1,1,1487579506,1487579506,0
331784,1236053,LTE,440,50,47690,101191683,0,133.92539978027,34.651565551758,1000,1,1,1490609354,1490609354,0
331788,1236065,LTE,440,50,47690,101636353,0,133.92539978027,34.648818969727,1000,1,1,1490609354,1490609354,0
