,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
429991,494246,LTE,440,10,25097,124803072,0,133.91713700000003,34.654689000000005,1000,31,1,1458911708,1505952114,0
430000,494255,LTE,440,10,25097,119557632,0,133.92677307129,34.654312133789,1000,1,1,1445225023,1445225023,0
430004,494259,LTE,440,10,25097,119651332,0,133.91990661621,34.658432006836,1000,1,1,1434450198,1434450198,0
430040,494295,LTE,440,10,25097,119755268,0,133.92539978027,34.651565551758,1000,1,1,1446533540,1446533540,0
430054,494309,LTE,440,10,25097,119800322,0,133.91578674316003,34.65705871582,1000,1,1,1432440661,1432440661,0
430061,494316,LTE,440,10,25097,119800320,0,133.9185333252,34.654312133789,1000,1,1,1432811716,1432811716,0
430070,494325,LTE,440,10,25097,119955716,0,133.91166687012,34.652938842773,1000,2,1,1458911706,1459058245,0
430100,494355,LTE,440,10,25097,120278308,0,133.92402648926,34.65705871582,1000,5,1,1458911708,1479983641,0
430105,494360,LTE,440,10,25097,120278305,0,133.91185,34.65834,1000,15,1,1458911707,1485750034,0
430110,494365,LTE,440,10,25097,120269856,0,133.922424,34.658203,1000,6,1,1458911707,1491840309,0
430115,494370,LTE,440,10,25097,124803106,0,133.914555,34.65544000000001,1000,12,1,1458911708,1505952784,0
430133,494388,LTE,440,10,25097,124986116,0,133.92402648926,34.652938842773,1000,5,1,1458911709,1490637553,0
430186,494441,LTE,440,10,25097,119755265,0,133.92677307129,34.651565551758,1000,1,1,1446924560,1446924560,0
430218,494473,LTE,440,10,25097,119983620,0,133.92265319824,34.65705871582,1000,1,1,1448443117,1448443117,0
430241,494496,LTE,440,10,25097,120227618,0,133.919754,34.659805,1000,9,1,1458911707,1489563903,0
430251,494506,LTE,440,10,25097,120269824,0,133.92127990723,34.65705871582,1000,4,1,1458911707,1478147381,0
430252,494507,LTE,440,10,25097,120269857,0,133.919907,34.656601,1000,12,1,1458911707,1489563903,0
430257,494512,LTE,440,10,25097,120278289,0,133.912811,34.657459,1000,24,1,1458911707,1489127978,0
430258,494513,LTE,440,10,25097,120269825,0,133.91878300000002,34.655685,1000,11,1,1458911707,1489062384,0
430260,494515,LTE,440,10,25097,120269842,0,133.91851,34.65779000000001,1000,6,1,1458911707,1505888739,0
430264,494519,LTE,440,10,25097,120269826,0,133.917895,34.657367,1000,6,1,1458911707,1505864899,0
430275,494530,LTE,440,10,25097,124803104,0,133.91725300000002,34.65466,1000,30,1,1458911708,1505949456,0
430278,494533,LTE,440,10,25097,124803089,0,133.91613,34.651565999999995,1000,4,1,1458911708,1472800962,0
430282,494537,LTE,440,10,25097,124972034,0,133.928421,34.653917,1000,5,1,1458911709,1494677677,0
430283,494538,LTE,440,10,25097,124986145,0,133.92539978027,34.651565551758,1000,14,1,1458911709,1489129870,0
430289,494544,LTE,440,10,25097,124986146,0,133.925142,34.652939,1000,16,1,1458911709,1489129870,0
430298,494553,LTE,440,10,25097,119983360,0,133.92265319824,34.651565551758,1000,1,1,1450772081,1450772081,0
430303,494558,LTE,440,10,25097,119983619,0,133.92539978027,34.65705871582,1000,1,1,1447670532,1447670532,0
430325,494580,LTE,440,10,25097,120236034,0,133.924026,34.659348,1000,3,1,1458911707,1490936183,0
430333,494588,LTE,440,10,25097,120278292,0,133.924484,34.657974,1000,3,1,1458911707,1480198587,0
430335,494590,LTE,440,10,25097,120278307,0,133.92704799999998,34.658569,1000,10,1,1458911708,1486635451,0
430340,494595,LTE,440,10,25097,120269840,0,133.920937,34.657402000000005,1000,4,1,1458911707,1488793996,0
430343,494598,LTE,440,10,25097,120269858,0,133.91826799999998,34.657993,1000,10,1,1458911707,1505888376,0
430543,494798,LTE,440,10,25097,119955715,0,133.912582,34.656143,1000,3,1,1458911706,1463731042,0
430562,494817,LTE,440,10,25097,120278276,0,133.924026,34.657402000000005,1000,4,1,1458911707,1478147381,0
430563,494818,LTE,440,10,25097,120278273,0,133.911667,34.659348,1000,15,1,1458911707,1488562338,0
430575,494830,LTE,440,10,25097,124803074,0,133.914725,34.654995,1000,11,1,1458911708,1505935896,0
430578,494833,LTE,440,10,25097,124803090,0,133.913177,34.653625,1000,10,1,1458911708,1492286478,0
430599,494854,LTE,440,10,25097,124986117,0,133.925319,34.656332,1000,17,1,1458911709,1491962797,0
430601,494856,LTE,440,10,25097,124972066,0,133.930206,34.657745,1000,6,1,1458911709,1491738066,0
430608,494863,LTE,440,10,25097,125014305,0,133.91190600000002,34.659278,6772,13,1,1458911709,1492540200,0
430761,495016,LTE,440,10,25097,124986115,0,133.925362,34.651,1000,12,1,1458911709,1494677248,0
430972,495227,LTE,440,10,25097,124803073,0,133.91578674316003,34.651565551758,1000,13,1,1458911708,1492108192,0
474649,539914,LTE,440,51,47681,103506945,0,133.92951965332,34.65705871582,1000,63,1,1458920767,1491370650,0
474651,539916,LTE,440,51,47681,102226945,0,133.92951965332,34.658432006836,1000,109,1,1458920767,1492420451,0
474657,539922,LTE,440,51,47681,101210881,0,133.91990661621,34.659805297852,1000,20,1,1458920767,1486363852,0
474660,539925,LTE,440,51,47681,102490882,0,133.919983,34.657059000000004,1000,18,1,1458920767,1488431818,0
474661,539926,LTE,440,51,47681,101636866,0,133.918051,34.654312,1000,37,1,1458920767,1490683681,0
474662,539927,LTE,440,51,47681,101210883,0,133.9185333252,34.659805297852,1000,1,1,1450488043,1450488043,0
474667,539932,LTE,440,51,47681,102779138,0,133.92428700000002,34.657816,1000,58,1,1458920767,1491804486,0
474677,539942,LTE,440,51,47681,264774148,0,133.918492,34.654229,1000,33,1,1458920768,1492089254,0
474729,539994,LTE,440,51,47687,102392322,0,133.92951965332,34.65705871582,1000,55,1,1458920770,1492089254,0
474778,540043,LTE,440,51,47690,103656193,0,133.92128,34.65303,1000,15,1,1458920771,1482476237,0
474979,540244,LTE,440,51,47681,101637123,0,133.91166687012,34.655685424805,1000,28,1,1458920767,1492420456,0
474980,540245,LTE,440,51,47681,101210882,0,133.91990661621,34.65705871582,1000,77,1,1458920767,1490683681,0
474985,540250,LTE,440,51,47681,264774147,0,133.924141,34.658432,1000,24,1,1458920768,1492089270,0
475087,540352,LTE,440,51,47690,101191683,0,133.92425500000002,34.651565999999995,1000,60,1,1458920771,1492089254,0
475091,540356,LTE,440,51,47690,102376193,0,133.921211,34.652939,1000,20,1,1458920771,1492089254,0
475096,540361,LTE,440,51,47690,102471681,0,133.92677307129,34.655685424805,1000,100,1,1458920771,1492168220,0
475109,540374,LTE,440,51,47690,102471683,0,133.92402648926,34.651565551758,1000,39,1,1458920771,1489038227,0
475197,540462,LTE,440,51,47681,103506947,0,133.928146,34.658515,1000,33,1,1458920767,1492168200,0
475201,540466,LTE,440,51,47681,264788225,0,133.925355,34.659805,1000,31,1,1458920768,1492168200,0
475214,540479,LTE,440,51,47681,264775169,0,133.914413,34.652069,1000,30,1,1458920768,1492219023,0
475489,540754,LTE,440,51,47681,102226947,0,133.928146,34.65979,1000,90,1,1458920767,1492168200,0
475497,540762,LTE,440,51,47681,102916867,0,133.91578700000002,34.651616,1000,27,1,1458920767,1488266090,0
475506,540771,LTE,440,51,47681,264774144,0,133.92414399999998,34.657137,1000,35,1,1458920768,1489556599,0
475509,540774,LTE,440,51,47681,264774145,0,133.919907,34.654716,1000,51,1,1458920768,1492089254,0
475542,540807,LTE,440,51,47687,103672323,0,133.92951965332,34.655685424805,1000,33,1,1458920770,1492089270,0
475577,540842,LTE,440,51,47690,101191681,0,133.926773,34.655548,1000,50,1,1458920771,1491804486,0
475735,541000,LTE,440,51,47681,101636867,0,133.91441345215,34.651565551758,1000,40,1,1458920767,1492219023,0
475742,541007,LTE,440,51,47681,102916865,0,133.91595800000002,34.655685,1000,8,1,1458920767,1482124955,0
475744,541009,LTE,440,51,47681,101637122,0,133.914642,34.655685,1000,18,1,1458920767,1491881161,0
475745,541010,LTE,440,51,47681,102916866,0,133.921868,34.653331,1000,14,1,1458920767,1487578261,0
475753,541018,LTE,440,51,47681,264774146,0,133.918408,34.659556,1000,11,1,1458920768,1492089270,0
475757,541022,LTE,440,51,47681,264775170,0,133.914299,34.65271,1000,12,1,1458920768,1489556599,0
475762,541027,LTE,440,51,47681,264799234,0,133.929445,34.657059000000004,1000,55,1,1458920768,1492420435,0
475854,541119,LTE,440,51,47690,264797954,0,133.926344,34.653025,1000,16,1,1458920771,1487578255,0
475857,541122,LTE,440,51,47690,102471682,0,133.928009,34.651565999999995,1000,10,1,1458920771,1491370650,0
475860,541125,LTE,440,51,47690,264797953,0,133.92677307129,34.652938842773,1000,29,1,1458920771,1487666935,0
476044,541309,LTE,440,51,47681,101499138,0,133.9254,34.658372,1000,69,1,1458920767,1492089270,0
476046,541311,LTE,440,51,47681,101636865,0,133.9185333252,34.654312133789,1000,31,1,1458920767,1490683681,0
476067,541332,LTE,440,51,47681,264799233,0,133.92951965332,34.658432006836,1000,70,1,1458920768,1492089254,0
476140,541405,LTE,440,51,47690,101191682,0,133.92726399999998,34.652301,1000,28,1,1458920771,1491370650,0
566277,704153,LTE,440,51,47690,102376194,0,133.922104,34.651565999999995,1000,10,1,1460149694,1482538476,0
567742,705788,UMTS,440,10,23809,191250607,0,133.91441345215,34.65705871582,1000,1,1,1460195381,1460195381,0
577180,717128,UMTS,440,10,23809,191267089,0,133.92539978027,34.652938842773,1000,1,1,1460858033,1460858033,0
577181,717129,UMTS,440,10,23809,191267087,0,133.92677307129,34.652938842773,1000,1,1,1460858033,1460858033,0
578328,718576,LTE,440,51,47690,102376195,0,133.917847,34.653625,1000,2,1,1461124022,1469514408,0
627588,776771,LTE,440,51,47690,103656194,0,133.922653,34.650977000000005,1000,7,1,1463576331,1482826157,0
662832,818719,LTE,440,10,25097,120227603,0,133.917664,34.659518,1000,3,1,1465856863,1505952921,0
688100,847601,LTE,440,10,25097,125324066,0,133.912844,34.654999,1000,14,1,1467544263,1489144307,0
688104,847605,LTE,440,10,25097,125324051,0,133.913433,34.656274,1000,7,1,1467544263,1491571713,0
694209,854957,LTE,440,10,25097,124972053,0,133.929977,34.658432,1000,3,1,1468041973,1491973007,0
694217,854965,LTE,440,10,25097,124986131,0,133.9281463623,34.652938842773,1000,2,1,1468041973,1482327838,0
698222,859492,LTE,440,10,25097,124986133,0,133.924026,34.652481,1000,3,1,1468358699,1482327838,0
720856,885426,LTE,440,10,25097,124972068,0,133.925611,34.656953,1000,13,1,1469757387,1491840309,0
720873,885443,LTE,440,10,25097,124986144,0,133.926245,34.655157,1000,13,1,1458911709,1491738066,0
722939,887952,LTE,440,10,25097,124972036,0,133.924212,34.656817,2017,8,1,1469846579,1505802456,0
731332,897686,LTE,440,10,25097,125324033,0,133.91166687012,34.65705871582,1000,5,1,1470273067,1491032650,0
751059,921220,LTE,440,10,25097,124986113,0,133.92906200000002,34.652481,1000,3,1,1471155323,1490013989,0
751060,921221,LTE,440,10,25097,124803088,0,133.91715200000002,34.654717,1000,8,1,1471155323,1505948674,0
755602,926712,LTE,440,10,25097,120236035,0,133.92265319824,34.659805297852,1000,1,1,1471309510,1471309510,0
765110,937951,LTE,440,10,25097,125493010,0,133.92951965332,34.658432006836,1000,2,1,1471788720,1480839426,0
765119,937961,LTE,440,10,25097,124972037,0,133.92951965332,34.658432006836,1000,4,1,1471788720,1490013984,0
