,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
6983,113802,LTE,440,50,47681,104114178,0,133.909836,34.668045,1000,3,1,1458589876,1462262976,0
6984,113803,LTE,440,50,47681,264832515,0,133.91166687012,34.670791625977,1000,1,1,1458206696,1458206696,0
6987,113806,LTE,440,50,47681,264768258,0,133.9185333252,34.662551879883,1000,3,1,1458589876,1492325846,0
7087,113906,LTE,440,50,47681,101499651,0,133.919632,34.669968,1000,5,1,1458589875,1488711381,0
7088,113907,LTE,440,50,47681,102917378,0,133.912354,34.659805,1000,2,1,1458589875,1470045870,0
7097,113916,LTE,440,50,47681,101499138,0,133.925858,34.65889,1000,3,1,1458589875,1490609354,0
7098,113917,LTE,440,50,47681,102490881,0,133.918658,34.662552000000005,1000,11,1,1458589875,1492325846,0
7099,113918,LTE,440,50,47681,101212162,0,133.9102935791,34.668045043945,1000,18,1,1458589875,1463262332,0
7102,113921,LTE,440,50,47681,101640963,0,133.89930725098,34.66667175293,1000,2,1,1458589875,1461741573,0
7105,113924,LTE,440,50,47681,102464257,0,133.90926399999998,34.662552000000005,1000,4,1,1458589875,1486862499,0
7106,113925,LTE,440,50,47681,102464770,0,133.922653,34.665642,1000,4,1,1458589875,1473761095,0
7111,113930,LTE,440,50,47681,264774146,0,133.9185333252,34.661178588867,1000,7,1,1458589876,1492325800,0
7119,113938,LTE,440,50,47681,264848386,0,133.91956299999998,34.665298,1000,4,1,1458589876,1492325800,0
7236,114055,LTE,440,50,47681,101210883,0,133.917435,34.660903999999995,1000,10,1,1458589875,1492325846,0
7240,114059,LTE,440,50,47681,101637634,0,133.918141,34.666672,1000,7,1,1458589875,1491509931,0
7241,114060,LTE,440,50,47681,101210881,0,133.9185333252,34.661178588867,1000,13,1,1458589875,1492325800,0
7242,114061,LTE,440,50,47681,103571202,0,133.921672,34.664121,1000,7,1,1458589875,1489212075,0
7244,114063,LTE,440,50,47681,102920961,0,133.899307,34.661865,1000,4,1,1458589875,1470045870,0
7247,114066,LTE,440,50,47681,103643905,0,133.919449,34.669418,1000,3,1,1458589875,1486862499,0
7250,114069,LTE,440,50,47681,103571203,0,133.9185333252,34.665298461914,1000,5,1,1458589875,1491509931,0
7251,114070,LTE,440,50,47681,101212163,0,133.904114,34.666672,1000,2,1,1458589875,1461741573,0
7254,114073,LTE,440,50,47681,105238017,0,133.91753500000002,34.662552000000005,1000,11,1,1458589876,1492325800,0
7256,114075,LTE,440,50,47681,106304256,0,133.90617370605,34.658432006836,1000,1,1,1436579689,1436579689,0
7261,114080,LTE,440,50,47681,264774148,0,133.91990661621,34.65705871582,1000,1,1,1458206684,1458206684,0
7262,114081,LTE,440,50,47681,264774145,0,133.9185333252,34.65705871582,1000,1,1,1458206684,1458206684,0
7272,114091,LTE,440,50,47681,107483904,0,133.91716003418,34.669418334961,1000,1,1,1448704740,1448704740,0
7273,114092,LTE,440,50,47681,264788225,0,133.926086,34.659805,1000,2,1,1458589876,1492325846,0
7399,114218,LTE,440,50,47681,102291203,0,133.920156,34.665361,1000,22,1,1458589875,1492325800,0
7400,114219,LTE,440,50,47681,102490115,0,133.925949,34.665572999999995,1000,5,1,1458589875,1492325846,0
7407,114226,LTE,440,50,47681,102779138,0,133.92539978027,34.658432006836,1000,1,1,1448704740,1448704740,0
7408,114227,LTE,440,50,47681,104114177,0,133.9102935791,34.670791625977,1000,1,1,1456138450,1456138450,0
7411,114230,LTE,440,50,47681,101637377,0,133.91681699999998,34.662552000000005,1000,8,1,1458589875,1489297895,0
7412,114231,LTE,440,50,47681,104129793,0,133.91578674316003,34.66667175293,1000,1,1,1449541178,1449541178,0
7414,114233,LTE,440,50,47681,106332161,0,133.9102935791,34.668045043945,1000,49,1,1458589876,1463175887,0
7417,114236,LTE,440,50,47681,264784642,0,133.91166687012,34.668045043945,1000,1,1,1458206696,1458206696,0
7418,114237,LTE,440,50,47681,107483905,0,133.91578674316003,34.665298461914,1000,1,1,1448704740,1448704740,0
7421,114240,LTE,440,50,47681,264774149,0,133.9185333252,34.661178588867,1000,3,1,1458589876,1489212075,0
160121,539908,LTE,440,51,47681,102917378,0,133.9102935791,34.661178588867,1000,38,1,1458920767,1489038227,0
160122,539909,LTE,440,51,47681,102490115,0,133.925552,34.665298,1000,63,1,1458920767,1492168220,0
160125,539912,LTE,440,51,47681,102917379,0,133.91166687012,34.663925170898,1000,11,1,1458920767,1485150461,0
160126,539913,LTE,440,51,47681,102291203,0,133.919017,34.665298,1000,88,1,1458920767,1492420451,0
160132,539919,LTE,440,51,47681,103571203,0,133.9185333252,34.665298461914,1000,30,1,1458920767,1492089270,0
160133,539920,LTE,440,51,47681,102464769,0,133.924118,34.669418,1000,15,1,1458920767,1482029456,0
160134,539921,LTE,440,51,47681,102464259,0,133.901301,34.659805,1000,31,1,1458920767,1487334003,0
160135,539922,LTE,440,51,47681,101210881,0,133.91990661621,34.659805297852,1000,20,1,1458920767,1486363852,0
160138,539925,LTE,440,51,47681,102490882,0,133.919983,34.657059000000004,1000,18,1,1458920767,1488431818,0
160140,539927,LTE,440,51,47681,101210883,0,133.9185333252,34.659805297852,1000,1,1,1450488043,1450488043,0
160141,539928,LTE,440,51,47681,101212163,0,133.906021,34.661331,1000,9,1,1458920767,1491456165,0
160142,539929,LTE,440,51,47681,102291201,0,133.92127990723,34.665298461914,1000,54,1,1458920767,1492420451,0
160144,539931,LTE,440,51,47681,103643905,0,133.91990661621,34.670791625977,1000,24,1,1458920767,1492089259,0
160145,539932,LTE,440,51,47681,102779138,0,133.92428700000002,34.657816,1000,58,1,1458920767,1491804486,0
160146,539933,LTE,440,51,47681,102464771,0,133.919907,34.669266,1000,9,1,1458920767,1482029456,0
160151,539938,LTE,440,51,47681,264768258,0,133.92283600000002,34.662552000000005,1000,15,1,1458920768,1492089270,0
160160,539947,LTE,440,51,47681,264788226,0,133.923645,34.661179,1000,18,1,1458920768,1492089270,0
160449,540236,LTE,440,51,47681,102291202,0,133.92127990723,34.663925170898,1000,68,1,1458920767,1492168200,0
160450,540237,LTE,440,51,47681,102920961,0,133.901962,34.661545000000004,1000,15,1,1458920767,1492219023,0
160451,540238,LTE,440,51,47681,103571202,0,133.92127990723,34.663925170898,1000,61,1,1458920767,1492168200,0
160452,540239,LTE,440,51,47681,102464770,0,133.922653,34.665423,1000,22,1,1458920767,1484728643,0
160456,540243,LTE,440,51,47681,101184771,0,133.92127990723,34.669418334961,1000,3,1,1458920767,1492089265,0
160458,540245,LTE,440,51,47681,101210882,0,133.91990661621,34.65705871582,1000,77,1,1458920767,1490683681,0
160463,540250,LTE,440,51,47681,264774147,0,133.924141,34.658432,1000,24,1,1458920768,1492089270,0
160667,540454,LTE,440,51,47681,101640961,0,133.900681,34.661636,1000,6,1,1458920767,1492219023,0
160670,540457,LTE,440,51,47681,101184257,0,133.90480041504,34.659805297852,1000,12,1,1458920767,1476346171,0
160672,540459,LTE,440,51,47681,101637634,0,133.9185333252,34.66667175293,1000,119,1,1458920767,1492168220,0
